,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,NAICS_CODE,NAICS_DESC,LEVEL,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,YEAR
3674,A9300989,ST STEPHEN'S EPISCOPAL SCHOOL,6000 FM 3237,WIMBERLEY,TX,78676,1,1,72,HAYS,48209,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,64,2,11,8,2009
3675,01326021,ALL SAINTS EPISCOPAL SCHOOL,4108 DELAWARE ST,BEAUMONT,TX,77706,1,1,367,JEFFERSON,48245,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,334,2,13,33,2010
3676,02061822,ST PETER'S EPISCOPAL SCHOOL,321 SAINT PETER ST,KERRVILLE,TX,78028,7,1,56,KERR,48265,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,54,2,3,2,2009
3677,01328528,VANGUARD COLLEGE PREPARATORY SCHOOL,2517 MOUNT CARMEL DR,WACO,TX,76710,1,1,220,MCLENNAN,48309,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,197,12,17,23,2009
3678,A0109338,FORT WORTH COUNTRY DAY SCHOOL,4200 COUNTRY DAY LN,FORT WORTH,TX,76109,1,1,1211,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,1100,3,17,111,2009
3679,A0109328,ARLINGTON FAITH ACADEMY,5100 US HIGHWAY 287,ARLINGTON,TX,76017,1,1,19,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,17,2,17,2,2010
3680,A0771762,CENTER,2011 S FIELDER RD,ARLINGTON,TX,76013,7,1,24,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,20,2,3,4,2010
3681,01915163,HILL SCHOOL OF FORT WORTH,4817 ODESSA AVE,FORT WORTH,TX,76133,4,1,169,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,145,3,17,24,2009
3682,01326983,TRINITY EPISCOPAL SCHOOL,1504 N MOODY ST,VICTORIA,TX,77901,1,1,245,VICTORIA,48469,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,227,2,13,18,2009
3683,A0109504,TOMORROW'S PROMISE,2817 OLD HOUSTON RD,HUNTSVILLE,TX,77340,2,1,16,WALKER,48471,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,13,2,8,3,2010
3684,A9300951,RIVER CITY BELIEVERS ACADEMY,16765 LOOKOUT RD,SELMA,TX,78154,1,1,156,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,138,2,17,18,2010
3702,A0903515,FIRST BAPTIST ACADEMY,350 HWY 96 S,SILSBEE,TX,77656,7,1,9,HARDIN,48199,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,8,2,3,1,2012
3885,A1703426,CENTER FOR TEACHING AND LEARNING,25925 BUDDE RD,SPRING,TX,77380,1,1,78,MONTGOMERY,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,70,2,12,8,2019
3886,A1703489,KIDS R KIDS NO. 35 HUMBLE,16325 W LAKE HOUSTON PKWY,HOUSTON,TX,77044,7,1,13,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,12,2,4,1,2019
3905,A1703530,PRESTON HOLLOW PRSBYTRN SCHOOL,9800 PRESTON RD,DALLAS,TX,75230,6,1,154,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,128,2,11,26,2019
3968,A1503642,4 OUR KIDS LEARNING ACADEMY,7625 GARTH RD,BAYTOWN,TX,77521,7,1,7,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,6,2,3,1,2019
3969,A1790474,ABUNDANT LIFE CHRISTIAN SCHOOL,5130 HALLAM RD,LA MARQUE,TX,77568,1,1,60,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,53,2,17,7,2019
3970,A1703442,FAITH CHRISTIAN ACADEMY,5227 FM 1301 RD,WHARTON,TX,77488,1,1,41,WHARTON,48481,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,33,2,14,8,2019
3971,A1703539,PROMISE ACADEMY,901 N BROADWAY,TYLER,TX,75702,3,1,30,SMITH,48423,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,27,3,7,3,2019
3972,A1790492,FUSION ACADEMY HTW: THE WOODLANDS,1201 LAKE WOODLANDS DR STE 4000,THE WOODLANDS,TX,77380,6,1,63,MONTGOMERY,48339,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,45,11,17,18,2019
4304,01328437,CHINQUAPIN PREPARATORY SCHOO,2615 E WALLISVILLE RD,HIGHLANDS,TX,77562,1,1,171,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,155,11,17,16,2010
4305,01328302,SAN MARCOS BAPTIST ACADEMY,2801 RANCH RD 12,SAN MARCOS,TX,78666,1,1,289,HAYS,48209,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,258,9,17,31,2010
4306,A9300904,KAUFMAN CHRISTIAN SCHOOL,401 N SHANNON ST,KAUFMAN,TX,75142,1,1,91,KAUFMAN,48257,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,82,2,17,9,2009
4307,01322661,ST JOSEPH ELEMENTARY SCHOOL,310 ORTH ST,YOAKUM,TX,77995,1,1,89,LAVACA,48285,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,78,2,13,11,2010
4308,A0702238,LIVE OAK CLASSICAL SCHOOL,400 S 4TH ST,WACO,TX,76706,1,1,442,MCLENNAN,48309,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,397,2,17,45,2010
4309,X1328175,MIDLAND CHRISTIAN SCHOOL,2001 CULVER DR,MIDLAND,TX,79705,1,1,1300,MIDLAND,48329,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,1197,2,17,103,2010
4310,01323938,ST PIUS X CATHOLIC SCHOOL,737 SAINT PIUS DR,CORPUS CHRISTI,TX,78412,1,1,146,NUECES,48355,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,133,2,11,13,2009
4311,A0304109,WEATHERFORD CHRISTIAN SCHOOL,111 E COLUMBIA ST,WEATHERFORD,TX,76086,1,1,271,PARKER,48367,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,246,2,17,25,2010
4312,AA001557,TYLER ADVENTIST SCHOOL,2931 S SE LOOP 323,TYLER,TX,75701,1,1,16,SMITH,48423,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,14,3,13,2,2010
4314,02062815,FAITH ACADEMY,2002 E MOCKINGBIRD LN,VICTORIA,TX,77901,1,1,296,VICTORIA,48469,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,282,2,17,14,2010
4315,A9703295,ALPHA OMEGA ACADEMY,3891 HWY 30 W,HUNTSVILLE,TX,77340,1,1,435,WALKER,48471,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,406,2,17,29,2010
4316,01323712,BLESSED SACRAMENT SCHOOL,1501 N BARTLETT AVE,LAREDO,TX,78043,1,1,261,WEBB,48479,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,248,2,13,13,2009
4317,01327717,SUNSHINE COTTAGE SCHOOL FOR DEAF CHILDREN,603 E HILDEBRAND AVE,SAN ANTONIO,TX,78212,4,1,99,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,86,2,10,13,2010
4395,A1503781,SMALL STEPS NURTURING CENTER - JENSEN,2902 JENSEN DR,HOUSTON,TX,77026,6,1,58,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,34,2,3,24,2018
4439,A1303365,CRIMSON CHRISTIAN ACADEMY,7020 S US HIGHWAY 59,BURKE,TX,75941,1,1,20,ANGELINA,48005,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,16,3,16,4,2018
4440,A1303410,KIDS R KIDS LEARNING ACADEMY,21955 WESTHEIMER PKWY,KATY,TX,77450,7,1,22,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,20,2,3,2,2018
4498,A0109455,SAN ANTONIO CHRISTIAN SCHOOL,19202 REDLAND RD,SAN ANTONIO,TX,78259,1,1,1167,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,1037,2,17,130,2010
4499,AA001247,ST ANDREWS UMC WEEKDAY SCHOOL,722 ROBINHOOD PL,SAN ANTONIO,TX,78209,6,1,6,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,5,2,3,1,2010
4500,01327331,ST JAMES DAY SCHOOL,5501 N STATE LINE AVE,TEXARKANA,TX,75503,2,1,112,BOWIE,48037,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,103,2,11,9,2010
4501,01324352,ST MONICA CATHOLIC SCHOOL,4140 WALNUT HILL LN,DALLAS,TX,75229,1,1,809,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,757,2,13,52,2010
4502,01914986,SHELTON SCHOOL,15720 HILLCREST RD,DALLAS,TX,75248,3,1,1039,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,889,2,17,150,2010
4503,A9503944,CALVARY TEMPLE CHRISTIAN ACADEMY,3150 S BELTLINE RD,BALCH SPRINGS,TX,75181,1,1,54,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,49,2,17,5,2010
4504,A0303091,ISLAMIC SCHOOL OF IRVING,2555 ESTERS RD,IRVING,TX,75062,1,1,555,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,503,2,17,52,2010
4505,A0303151,THE SLOAN SCHOOL,3131 N O CONNOR RD,IRVING,TX,75062,1,1,101,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,91,2,10,10,2010
4506,A9300892,PROVIDENCE CHRISTIAN SCHOOL OF TEXAS,5002 W LOVERS LN,DALLAS,TX,75209,1,1,473,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,420,2,13,53,2010
4507,01324206,IMMACULATE CONCEPTION SCHOOL,400 NE 17TH ST,GRAND PRAIRIE,TX,75050,1,1,132,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,122,2,13,10,2010
4508,01325582,HOLY FAMILY SCHOOL,2601 AVE N,GALVESTON,TX,77550,1,1,101,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,88,2,13,13,2009
4509,A0771883,FIRST BAPTIST ACADEMY,505 ROLLINGBROOK ST,BAYTOWN,TX,77521,1,1,101,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,91,3,12,10,2010
4510,BB943394,SOUTHWEST COMMUNITY CHRISTIAN ACADEMY,14880 BELLAIRE BLVD,HOUSTON,TX,77083,3,1,111,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,100,2,7,11,2011
4511,A9106498,SALEM LUTHERAN SCHOOL,22601 LUTHERAN CHURCH RD,TOMBALL,TX,77377,1,1,487,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,439,2,13,48,2009
